iso3,conflict,year,idp_stock,idp_flow
COL,colombia,2017,6509000,139000
COL,colombia,2018,5761000,145000
COL,colombia,2019,5576000,139000
COL,colombia,2020,4922000,106000
COL,colombia,2021,5235000,134000
COL,colombia,2022,4766000,391000
COL,colombia,2023,5077000,329000
NGA,nigeria,2017,1702000,279000
NGA,nigeria,2018,2243000,541000
NGA,nigeria,2019,2583000,248000
NGA,nigeria,2020,2730000,169000
NGA,nigeria,2021,3228000,376000
NGA,nigeria,2022,3646000,148000
NGA,nigeria,2023,3340000,291000
SYR,syria,2017,6784000,2911000
SYR,syria,2018,6119000,1649000
SYR,syria,2019,6495000,1847000
SYR,syria,2020,6568000,1822000
SYR,syria,2021,6662000,456000
SYR,syria,2022,6865000,171000
SYR,syria,2023,7248000,174000
UKR,ukraine,2017,800000,21000
UKR,ukraine,2018,800000,12000
UKR,ukraine,2019,730000,60
UKR,ukraine,2020,734000,74
UKR,ukraine,2021,854000,40
UKR,ukraine,2022,5914000,16870000
UKR,ukraine,2023,3689000,714000
YEM,yemen,2017,2014000,160000
YEM,yemen,2018,2324000,252000
YEM,yemen,2019,3635000,398000
YEM,yemen,2020,3635000,143000
YEM,yemen,2021,4289000,377000
YEM,yemen,2022,4523000,276000
YEM,yemen,2023,4516000,80000
